,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
129,Richard Johnson,26420,,,,,,,,,,,,,,,
130,Zach Johnson,24024,71.469,-0.733,-0.15,-0.184,-0.889,-0.346,0.155,2.0,1.0,0.0,1.0,,,,70000.0
131,Sung Kang,27974,72.347,-0.624,-0.359,-0.256,-0.941,-0.087,0.317,7.4,0.8,6.67,0.67,,,,
132,Smylie Kaufman,46440,,,,,,,,-2.0,0.5,-2.0,0.5,,,,
133,Michael Kim,39975,70.974,0.285,0.062,-0.025,0.231,0.198,0.054,5.0,0.0,4.67,0.0,,,,
134,S.H. Kim,50188,70.777,0.484,0.388,0.113,0.086,-0.392,0.398,,,,,,,,42500.0
135,Si Woo Kim,37455,70.174,0.981,0.36,0.107,1.039,0.542,-0.057,-1.0,0.86,-0.5,0.88,1451.0,-3.0,1.0,5333.0
136,Tom Kim,55182,70.219,0.951,0.311,0.179,1.127,0.689,-0.177,,,,,,,,
137,Chris Kirk,30926,70.378,0.953,-0.004,0.443,0.763,0.302,0.19,1.17,0.67,0.86,0.57,1378.0,6.0,1.0,11750.0
138,Kevin Kisner,29478,73.161,-2.163,-1.057,-0.217,-1.951,-0.665,-0.213,-2.33,0.5,-2.33,0.5,,,,95833.0
139,Kurt Kitayama,48117,70.335,0.667,-0.014,0.073,0.495,0.473,0.173,3.0,0.0,3.0,0.0,1413.0,3.0,0.0,12417.0
140,Patton Kizzire,32757,71.206,-0.319,-0.184,0.023,-0.314,-0.17,-0.004,3.67,0.17,3.71,0.14,1436.0,12.0,0.0,
141,Philip Knowles,54813,,,,,,,,,,,,,,,
142,Russell Knox,33122,71.664,-0.757,-0.761,-0.091,-0.387,0.553,-0.369,1.57,0.86,1.5,0.75,1444.0,13.0,0.0,
143,Satoshi Kodaira,32816,71.261,0.042,-0.208,-0.204,0.139,0.392,-0.096,3.0,0.0,3.0,0.0,,,,
144,Kelly Kraft,35879,72.338,-1.539,-0.408,-0.457,-1.8,-0.978,0.262,3.0,0.33,3.0,0.33,,,,
145,Matt Kuchar,23108,69.951,1.177,0.072,0.563,0.883,0.244,0.294,-3.86,0.86,-3.88,0.88,1426.0,3.0,1.0,8583.0
146,Martin Laird,27936,71.638,-0.626,-0.399,-0.034,-0.563,-0.156,-0.063,1.0,0.8,1.0,0.8,1427.0,2.0,1.0,
147,Andrew Landry,33410,72.715,-1.663,-0.006,0.006,-1.354,-1.248,-0.31,5.67,0.33,5.5,0.25,,,,
148,Nate Lashley,28775,70.909,0.256,-0.172,0.037,0.157,0.258,0.099,5.0,0.0,4.5,0.0,1433.0,5.0,0.0,
149,Hank Lebioda,49766,72.147,-1.151,-0.533,-0.385,-1.004,0.076,-0.147,,,1.0,0.0,,,,
150,K.H. Lee,32791,70.433,0.7,0.109,0.211,0.652,0.256,0.048,,,,,,,,13000.0
151,Min Woo Lee,37378,,,,,,,,5.0,0.0,5.0,0.0,1428.0,5.0,0.0,
152,Ian Leggatt,10565,,,,,,,,,,,,,,,
153,Justin Leonard,10860,,,,,,,,,,,,,,,
154,Nicholas Lindheim,37278,,,,,,,,,,,,,,,
155,David Lingmerth,34409,71.393,-0.594,-0.533,-0.062,-0.51,0.082,-0.085,-1.25,0.75,-1.25,0.75,1390.0,4.0,1.0,67500.0
