,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
136,Si Woo Kim,37455,70.181,0.979,0.391,0.124,1.125,0.567,-0.146,-4.0,0.5,-4.0,0.5,,,
137,Tom Kim,55182,69.974,0.914,0.22,0.057,0.997,0.739,-0.082,,,,,,,
138,Chris Kirk,30926,70.39,0.98,0.016,0.34,0.746,0.384,0.233,-4.0,0.5,-4.0,0.5,,,
139,Kevin Kisner,29478,,,,,,,,,,,,,,
140,Kurt Kitayama,48117,70.542,0.359,-0.005,0.131,0.345,0.239,0.014,,,,,,,
141,Patton Kizzire,32757,71.362,-0.349,-0.237,-0.022,-0.292,-0.009,-0.057,-7.0,1.0,-7.0,1.0,530.0,-3.0,1.0
142,Philip Knowles,54813,,,,,,,,,,,,,,
143,Russell Knox,33122,71.524,-0.454,-0.628,-0.016,-0.163,0.471,-0.291,1.0,0.0,1.0,0.0,,,
144,Satoshi Kodaira,32816,71.381,-0.019,-0.184,0.036,0.217,0.315,-0.236,0.67,0.67,0.67,0.67,548.0,2.0,1.0
145,Kelly Kraft,35879,71.997,-0.973,-0.361,-0.313,-1.298,-0.672,0.326,-5.0,0.5,-5.0,0.5,511.0,-8.0,1.0
146,Matt Kuchar,23108,70.477,0.622,-0.032,0.465,0.431,0.002,0.191,-1.0,0.0,-1.0,0.0,,,
147,Peter Kuest,58696,,,,,,,,2.0,0.0,2.0,0.0,,,
148,Martin Laird,27936,71.686,-0.605,-0.344,0.047,-0.334,-0.13,-0.27,-4.5,0.5,-4.5,0.5,518.0,2.0,0.0
149,Andrew Landry,33410,72.542,-1.352,-0.157,-0.139,-1.312,-0.944,-0.04,2.0,0.0,2.0,0.0,440.0,8.0,0.0
150,Nate Lashley,28775,70.86,0.373,-0.165,0.062,0.262,0.314,0.111,2.0,0.0,2.0,0.0,526.0,5.0,0.0
151,Hank Lebioda,49766,72.467,-1.44,-0.455,-0.408,-1.217,-0.249,-0.223,-8.5,0.75,-8.5,0.75,491.0,-7.0,1.0
152,K.H. Lee,32791,70.649,0.351,-0.003,0.219,0.319,0.033,0.033,,,,,,,
153,Min Woo Lee,37378,69.751,1.018,0.561,0.248,0.247,-0.495,0.772,,,,,,,
154,Ian Leggatt,10565,,,,,,,,,,,,,,
155,Justin Leonard,10860,,,,,,,,,,,,,,
156,Nicholas Lindheim,37278,,,,,,,,7.0,0.0,7.0,0.0,,,
157,David Lingmerth,34409,71.365,-0.498,-0.499,-0.073,-0.627,-0.042,0.129,-0.75,0.5,-0.75,0.5,476.0,4.0,1.0
158,David Lipsky,36326,71.229,-0.297,-0.14,0.102,0.248,0.229,-0.544,,,,,,,
159,Luke List,27129,71.333,-0.208,0.558,-0.255,0.618,0.335,-0.826,-4.0,0.67,-4.0,0.67,,,
160,Adam Long,35449,71.422,-0.133,-0.243,0.154,-0.521,-0.454,0.388,-7.75,0.75,-7.75,0.75,441.0,-7.0,1.0
161,Davis Love III,01706,,,,,,,,,,,,,,
162,Justin Lower,40162,71.292,0.059,-0.209,-0.24,-0.502,0.014,0.56,,,,,,,
163,Shane Lowry,33204,70.151,0.875,0.356,0.072,0.955,0.486,-0.08,,,,,,,
164,Will MacKenzie,24912,,,,,,,,,,,,,,
165,Hunter Mahan,24781,,,,,,,,2.0,0.0,2.0,0.0,,,
166,Peter Malnati,34466,71.525,-0.153,-0.56,0.294,-0.658,-0.216,0.505,-3.75,0.5,-3.75,0.5,531.0,-8.0,1.0
167,Ben Martin,33413,70.8,0.14,-0.027,-0.311,0.164,0.492,-0.025,2.67,0.0,2.67,0.0,453.0,6.0,0.0
168,Shigeki Maruyama,12680,,,,,,,,,,,,,,
169,Hideki Matsuyama,32839,70.137,1.052,0.09,0.412,1.115,0.585,-0.063,-16.0,1.0,-16.0,1.0,,,
170,Troy Matteson,27120,,,,,,,,,,,,,,
171,Brandon Matthews,51491,72.983,-2.017,0.335,-0.951,-0.915,-0.107,-1.103,,,,,,,
172,Denny McCarthy,47993,69.823,1.198,0.03,0.104,0.373,0.092,0.824,-7.67,1.0,-7.67,1.0,,,
173,Tyler McCumber,40042,,,,,,,,0.0,0.0,0.0,0.0,,,
174,William McGirt,31202,,0.06,-0.379,0.204,-0.266,-0.255,0.326,,,,,,,
175,Jim McGovern,06090,,,,,,,,,,,,,,
176,Max McGreevy,51950,72.913,-2.076,-0.477,-0.004,-1.624,-1.13,-0.452,,,,,,,
177,Rory McIlroy,28237,68.88,2.215,1.073,0.373,2.138,0.832,0.077,,,,,,,
178,Parker McLachlin,24449,,,,,,,,6.0,0.0,6.0,0.0,532.0,10.0,0.0
