,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
112,Garrick Higgo,54421,71.237,-0.011,0.467,-0.002,0.207,-0.248,-0.219,-0.5,0.0,-0.5,0.0,1037.0,0.0,0.0,
113,Harry Higgs,33597,71.521,-1.115,-0.52,0.282,-1.429,-1.051,0.314,4.33,0.33,4.33,0.33,1041.0,5.0,1.0,
114,Lee Hodges,54628,70.799,0.327,0.283,-0.156,0.381,0.13,-0.054,-8.0,1.0,-8.0,1.0,1071.0,-8.0,1.0,
115,Charley Hoffman,12716,71.322,-0.236,0.035,0.038,0.455,0.399,-0.69,-5.57,0.71,-5.57,0.71,1020.0,0.0,0.0,
116,Tom Hoge,35532,70.653,0.561,-0.148,-0.195,0.551,0.947,0.01,-0.14,0.43,-0.14,0.43,1120.0,7.0,0.0,
117,Nicolai Hojgaard,52453,,,,,,,,,,,,,,,
118,J.B. Holmes,27141,,,,,,,,-1.75,0.5,-1.75,0.5,,,,
119,Max Homa,39977,69.74,1.741,0.145,0.196,1.013,0.647,0.728,-1.0,0.0,-1.0,0.0,,,,
120,Billy Horschel,29420,71.506,-0.325,-0.319,0.005,-0.542,-0.121,0.217,-1.0,0.0,-1.0,0.0,,,,
121,Beau Hossler,35461,70.63,0.23,0.116,0.386,0.093,-0.546,0.137,-4.67,0.5,-4.67,0.5,1008.0,-1.0,0.0,
122,Viktor Hovland,46717,69.523,1.469,0.718,-0.018,1.328,0.597,0.141,-7.0,1.0,-7.0,1.0,,,,
123,Mark Hubbard,36801,70.595,0.695,-0.118,0.206,0.709,0.605,-0.014,-6.0,1.0,-6.0,1.0,1075.0,-4.0,1.0,
124,Mackenzie Hughes,35506,70.921,0.218,-0.349,0.307,-0.129,-0.127,0.346,-5.67,1.0,-5.67,1.0,1076.0,-8.0,1.0,
125,John Huh,34174,,,,,,,,-1.5,0.5,-1.5,0.5,1052.0,-10.0,1.0,
126,Sungjae Im,39971,70.093,1.138,0.514,0.273,0.931,0.174,0.208,-5.5,1.0,-5.5,1.0,,,,
127,Trevor Immelman,22378,,,,,,,,,,,,,,,
128,Tony Jacklin,06306,,,,,,,,,,,,,,,
129,Stephan Jaeger,36799,70.255,0.722,0.228,0.42,0.772,0.156,-0.049,-3.0,0.5,-3.0,0.5,1106.0,-1.0,0.0,
130,Richard Johnson,26420,,,,,,,,,,,,,,,
131,Zach Johnson,24024,71.515,-0.723,-0.145,-0.106,-0.751,-0.33,0.029,-4.0,0.67,-4.0,0.67,1128.0,4.0,0.0,
132,Sung Kang,27974,72.331,-0.535,-0.392,-0.142,-0.934,-0.195,0.4,1.29,0.29,1.29,0.29,1107.0,7.0,0.0,
133,Smylie Kaufman,46440,,,,,,,,6.67,0.33,6.67,0.33,,,,
134,Michael Kim,39975,71.024,0.227,0.068,-0.039,0.201,0.155,0.026,2.33,0.17,2.33,0.17,,,,
135,S.H. Kim,50188,70.807,0.531,0.415,0.143,0.166,-0.41,0.365,,,,,,,,
136,Si Woo Kim,37455,70.072,1.082,0.405,0.139,1.121,0.539,-0.039,-4.33,0.5,-4.33,0.5,1108.0,-1.0,0.0,
137,Tom Kim,55182,70.198,0.916,0.243,0.107,1.054,0.723,-0.138,,,,,,,,
138,Chris Kirk,30926,70.438,0.857,-0.037,0.376,0.664,0.299,0.193,1.0,0.0,1.0,0.0,,,,
139,Kevin Kisner,29478,73.304,-2.261,-1.017,-0.3,-2.131,-0.82,-0.13,-7.0,0.75,-7.0,0.75,1062.0,-12.0,1.0,
140,Kurt Kitayama,48117,70.577,0.372,-0.061,0.016,0.251,0.355,0.121,,,,,,,,
141,Patton Kizzire,32757,71.207,-0.24,-0.185,-0.016,-0.245,-0.066,0.005,-1.5,0.5,-1.5,0.5,1091.0,0.0,1.0,
142,Philip Knowles,54813,,,,,,,,,,,,,,,
143,Russell Knox,33122,71.668,-0.718,-0.757,-0.097,-0.301,0.625,-0.417,-2.43,0.57,-2.43,0.57,1096.0,4.0,0.0,
144,Satoshi Kodaira,32816,,,,,,,,3.5,0.25,3.5,0.25,1109.0,1.0,0.0,
145,Kelly Kraft,35879,72.336,-1.476,-0.425,-0.415,-1.716,-0.917,0.24,0.6,0.4,0.6,0.4,1063.0,-2.0,1.0,
146,Matt Kuchar,23108,70.239,0.938,0.033,0.475,0.614,0.144,0.324,-8.0,1.0,-8.0,1.0,,,,
147,Martin Laird,27936,71.683,-0.635,-0.387,-0.036,-0.567,-0.185,-0.068,-3.4,0.8,-3.4,0.8,1077.0,-10.0,1.0,
148,Andrew Landry,33410,72.671,-1.498,-0.037,-0.024,-1.315,-1.173,-0.184,1.75,0.25,1.75,0.25,995.0,1.0,0.0,
149,Nate Lashley,28775,70.854,0.385,-0.144,0.049,0.262,0.328,0.124,-2.5,1.0,-2.5,1.0,1087.0,-8.0,1.0,
150,Hank Lebioda,49766,72.564,-1.885,-0.484,-0.523,-1.412,-0.335,-0.473,-5.5,1.0,-5.5,1.0,1042.0,-2.0,1.0,
151,K.H. Lee,32791,70.584,0.503,0.117,0.239,0.452,0.054,0.051,,,,,,,,
152,Min Woo Lee,37378,,,,,,,,,,,,,,,
153,Ian Leggatt,10565,,,,,,,,,,,,,,,
154,Justin Leonard,10860,,,,,,,,,,,,,,,
155,Nicholas Lindheim,37278,,,,,,,,2.67,0.0,2.67,0.0,,,,
156,David Lingmerth,34409,71.484,-0.634,-0.481,-0.052,-0.636,-0.076,0.001,-7.0,1.0,-7.0,1.0,,,,
157,David Lipsky,36326,71.218,-0.256,-0.14,0.171,0.347,0.262,-0.602,2.0,0.0,2.0,0.0,1029.0,0.0,0.0,
158,Luke List,27129,71.531,-0.296,0.592,-0.255,0.701,0.36,-0.997,-2.0,0.25,-2.0,0.25,1072.0,-9.0,1.0,
159,Adam Long,35449,71.509,-0.264,-0.285,0.094,-0.67,-0.539,0.406,-5.25,0.75,-5.25,0.75,996.0,-8.0,1.0,
160,Davis Love III,01706,,,,,,,,1.0,0.0,1.0,0.0,,,,
161,Justin Lower,40162,71.393,-0.116,-0.235,-0.273,-0.687,-0.115,0.571,,,,,,,,
162,Shane Lowry,33204,70.362,0.741,0.443,0.014,1.038,0.569,-0.297,-2.0,0.5,-2.0,0.5,,,,
163,Will MacKenzie,24912,,,,,,,,-2.0,0.5,-2.0,0.5,,,,
164,Hunter Mahan,24781,,,,,,,,-0.33,0.5,-0.33,0.5,,,,
165,Peter Malnati,34466,71.627,-0.307,-0.636,0.311,-0.723,-0.153,0.416,-0.86,0.57,-0.86,0.57,1092.0,0.0,1.0,
166,Ben Martin,33413,70.788,0.251,0.039,-0.408,0.225,0.668,0.026,1.0,0.0,1.0,0.0,,,,
167,Shigeki Maruyama,12680,,,,,,,,,,,,,,,
168,Hideki Matsuyama,32839,70.265,1.06,0.066,0.453,1.106,0.57,-0.045,,,,,,,,
169,Troy Matteson,27120,,,,,,,,,,,,,,,
170,Brandon Matthews,51491,72.752,-1.799,0.405,-1.05,-1.025,-0.219,-0.774,,,,,,,,
171,Denny McCarthy,47993,69.886,1.044,-0.018,0.108,0.291,0.064,0.753,-0.6,0.4,-0.6,0.4,1030.0,1.0,0.0,
172,Tyler McCumber,40042,,,,,,,,-1.0,0.0,-1.0,0.0,,,,
173,William McGirt,31202,,,,,,,,-3.25,0.75,-3.25,0.75,1126.0,-11.0,1.0,
174,Jim McGovern,06090,,,,,,,,,,,,,,,
175,Max McGreevy,51950,73.061,-2.441,-0.671,0.049,-1.767,-1.175,-0.674,,,,,,,,
176,Rory McIlroy,28237,69.36,2.026,1.032,0.35,2.032,0.69,-0.005,-9.75,1.0,-9.75,1.0,1097.0,-9.0,1.0,
177,Parker McLachlin,24449,,,,,,,,,,,,,,,
178,Maverick McNealy,46442,70.398,0.316,-0.488,0.154,-0.742,-0.282,1.058,-1.5,0.5,-1.5,0.5,1079.0,2.0,0.0,
