,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
137,Denny McCarthy,47993,70.199,0.77,0.064,0.165,0.327,0.046,0.443,5.0,0.25,6.33,0.0,1883.0,1.0,1.0,90625.0
138,Tyler McCumber,40042,,,,,,,,7.0,0.0,7.0,0.0,,,,
139,William McGirt,31202,71.745,0.311,-0.129,0.28,-0.135,-0.343,0.446,1.75,0.5,3.0,0.67,1977.0,1.0,0.0,
140,Max McGreevy,51950,72.937,-2.375,-0.726,0.076,-1.808,-1.186,-0.567,,,,,,,,500000.0
141,Rory McIlroy,28237,70.1,1.633,0.852,0.281,2.062,0.929,-0.429,-7.33,1.0,-6.5,1.0,1952.0,-4.0,1.0,164500.0
142,Maverick McNealy,46442,70.128,0.7,-0.384,0.108,-0.536,-0.199,1.237,4.0,0.0,4.0,0.0,,,,
143,John Merrick,27933,,,,,,,,0.0,1.0,0.0,1.0,,,,
144,Troy Merritt,32640,71.994,-0.751,-0.181,-0.159,-0.389,-0.066,-0.361,4.6,0.4,4.0,0.33,1971.0,3.0,1.0,500000.0
145,Keith Mitchell,39546,70.596,0.854,0.809,0.058,0.8,-0.086,0.054,-3.0,0.75,-5.0,1.0,1914.0,3.0,0.0,170000.0
146,Francesco Molinari,25198,72.079,-0.317,-0.176,-0.191,-0.292,0.019,-0.025,0.4,0.6,-0.75,0.75,1887.0,2.0,0.0,187500.0
147,Taylor Montgomery,55789,70.104,1.015,0.143,0.224,-0.122,-0.469,1.138,,,,,,,,500000.0
148,Ryan Moore,26596,71.638,-0.22,-0.29,-0.255,-0.103,0.433,-0.117,3.5,0.5,2.8,0.6,,,,500000.0
149,Taylor Moore,49947,70.471,0.972,0.229,0.032,0.344,0.072,0.628,15.0,1.0,,,1972.0,15.0,1.0,88625.0
150,Collin Morikawa,50525,70.016,1.518,0.511,0.084,1.689,0.986,-0.171,,,,,,,,500000.0
151,Trey Mullinax,46601,72.059,-0.604,-0.047,-0.194,-0.205,0.026,-0.399,4.75,0.25,3.5,0.5,1973.0,8.0,0.0,175000.0
152,Grayson Murray,34213,,,,,,,,5.0,0.67,4.0,0.67,,,,
153,Matthew NeSmith,36871,71.348,-0.06,-0.273,0.003,-0.132,0.115,0.072,3.5,1.0,5.0,1.0,1933.0,2.0,1.0,66250.0
154,S.Y. Noh,29289,71.395,-1.018,-0.725,-0.174,-1.397,-0.479,0.379,,,,,,,,
155,Alex Noren,27349,71.035,0.501,-0.358,0.417,0.099,0.131,0.402,,,,,,,,500000.0
156,Henrik Norlander,30163,71.379,-0.907,-0.025,0.129,-0.334,-0.341,-0.573,11.67,0.67,12.5,0.5,1893.0,10.0,1.0,366667.0
157,Vincent Norrman,51070,71.329,-0.342,0.185,-0.003,0.039,-0.158,-0.382,,,,,,,,
158,Andrew Novak,51997,71.098,0.566,-0.19,0.133,0.023,0.076,0.543,,,,,,,,
159,Augusto Núñez,36724,71.551,-0.442,-0.006,0.112,0.152,-0.042,-0.593,,,,,,,,
160,Sean O'Hair,24140,71.244,0.018,-0.123,0.224,0.014,-0.105,0.004,2.0,1.0,2.2,1.0,,,,
161,Ryan Palmer,23320,71.478,-0.243,0.107,-0.169,0.211,0.225,-0.454,,,,,,,,65000.0
162,C.T. Pan,29908,,,,,,,,2.0,0.5,0.0,0.5,1871.0,-1.0,1.0,500000.0
163,Taylor Pendrith,40250,71.341,-0.019,0.312,-0.133,-0.036,-0.221,0.017,,,,,,,,500000.0
