,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
186,Taylor Montgomery,55789,70.525,0.456,-0.092,0.221,-0.436,-0.52,0.892,,,,,,,
187,Ryan Moore,26596,71.493,-0.087,-0.233,-0.201,0.035,0.453,-0.121,-8.29,0.71,,,273.0,-9.0,1.0
188,Taylor Moore,49947,70.383,0.786,0.226,0.014,0.232,0.078,0.554,-13.0,1.0,-6.0,1.0,294.0,-13.0,1.0
189,Collin Morikawa,50525,69.689,1.582,0.489,0.028,1.647,1.108,-0.065,-12.0,1.0,-7.33,1.0,,,
190,Trey Mullinax,46601,71.777,-0.547,-0.041,-0.084,-0.24,-0.003,-0.308,-5.5,0.5,-7.67,1.0,,,
191,Grayson Murray,34213,,,,,,,,3.0,0.0,2.0,1.0,219.0,9.0,0.0
192,Matt NeSmith,36871,71.018,0.033,-0.037,-0.006,0.269,0.212,-0.236,,,,,,,
193,Jack Nicklaus,01869,,,,,,,,,,,,,,
194,S.Y. Noh,29289,71.517,-0.694,-0.473,-0.103,-1.095,-0.42,0.401,,,,,,,
195,Alex Noren,27349,70.595,0.566,-0.361,0.368,0.048,0.059,0.519,,,,,,,
196,Henrik Norlander,30163,71.601,-0.781,-0.131,0.005,-0.258,-0.088,-0.523,-3.67,0.67,6.0,1.0,224.0,-6.0,1.0
197,Vincent Norrman,51070,70.765,0.347,0.34,0.03,0.564,0.068,-0.217,,,,,,,
198,Andrew Novak,51997,70.819,0.592,-0.031,0.159,0.309,0.096,0.284,,,,,,,
199,Augusto Núñez,36724,71.772,-0.71,-0.033,-0.027,-0.217,-0.243,-0.494,,,,,,,
200,Sean O'Hair,24140,71.586,-0.445,-0.127,0.071,-0.359,-0.32,-0.085,-2.67,0.33,,,,,
201,Arron Oberholser,20628,,,,,,,,,,,,,,
202,Joe Ogilvie,21949,,,,,,,,,,,,,,
203,Geoff Ogilvy,22046,,,,,,,,-10.5,1.0,,,,,
204,Ryan Palmer,23320,71.005,0.099,0.242,-0.117,0.587,0.275,-0.487,3.0,0.0,-2.29,0.86,,,
205,C.T. Pan,29908,,,,,,,,-8.75,1.0,2.0,0.75,,,
206,Taylor Pendrith,40250,71.211,0.078,0.294,-0.142,0.092,-0.09,-0.014,-10.0,1.0,3.0,1.0,295.0,-10.0,1.0
207,Cameron Percy,22056,71.429,0.162,0.082,0.001,0.164,-0.015,-0.002,-6.57,0.71,-1.0,0.75,202.0,-11.0,1.0
208,Scott Piercy,25818,71.156,-0.053,-0.175,-0.002,-0.045,0.093,-0.007,-7.67,1.0,3.5,0.0,286.0,-8.0,1.0
209,Gary Player,01955,,,,,,,,,,,,,,
210,D.A. Points,25240,,,,,,,,-6.75,0.75,2.67,0.33,,,
211,J.T. Poston,49771,70.347,0.547,-0.054,0.059,0.269,0.218,0.278,-5.5,0.5,-3.0,0.75,236.0,-9.0,1.0
212,"Ted Potter, Jr.",27556,,,,,,,,,,,,,,
213,Seamus Power,28252,70.587,0.404,0.053,0.175,-0.067,-0.202,0.471,-4.0,0.6,-1.67,0.67,,,
214,Ted Purdy,21959,,,,,,,,-1.0,0.0,5.0,0.0,,,
215,Andrew Putnam,34256,70.079,0.796,-0.422,0.139,0.185,0.473,0.611,-2.0,0.33,-3.5,0.75,179.0,-8.0,1.0
216,Jon Rahm,46970,68.723,2.244,0.516,0.143,1.769,0.982,0.475,-1.0,0.0,-6.67,1.0,,,
217,Aaron Rai,46414,70.447,0.655,0.275,0.148,0.908,0.326,-0.253,-2.0,1.0,-4.67,1.0,180.0,-2.0,1.0
218,Chad Ramey,47983,71.465,-0.177,-0.115,-0.014,-0.498,-0.323,0.321,,,,,,,
219,Chez Reavie,26476,71.308,-0.018,-0.245,-0.205,0.019,0.401,-0.037,-2.71,0.43,-6.0,1.0,203.0,-6.0,1.0
220,Doc Redman,53165,71.422,-0.389,-0.075,-0.341,-0.523,-0.245,0.134,-5.0,0.4,,,213.0,-9.0,1.0
221,Davis Riley,47995,71.089,-0.105,-0.025,-0.307,0.006,0.404,-0.111,-10.0,1.0,-6.0,1.0,214.0,-10.0,1.0
222,Patrick Rodgers,36699,70.232,0.687,0.233,0.214,0.47,-0.074,0.217,-6.33,0.67,0.33,0.33,265.0,-7.0,1.0
223,Chi Chi Rodriguez,02015,,,,,,,,,,,,,,
224,John Rollins,22913,,,,,,,,,,3.5,0.5,,,
225,Justin Rose,22405,69.719,1.314,-0.069,0.333,0.956,0.57,0.357,-6.0,0.67,0.33,0.67,237.0,-5.0,1.0
226,Kevin Roy,39335,71.446,-0.22,-0.121,-0.185,0.208,0.566,-0.428,,,,,,,
227,Sam Ryder,37275,70.648,0.487,-0.426,-0.095,-0.137,0.387,0.625,-5.6,0.8,-0.5,0.5,288.0,-4.0,1.0
228,Rory Sabbatini,23621,,,,,,,,-9.17,0.83,14.0,0.0,274.0,-4.0,1.0
229,Xander Schauffele,48081,69.252,1.877,0.271,0.064,1.18,0.826,0.697,,,-2.75,1.0,,,
230,Scottie Scheffler,46046,68.531,2.616,1.08,0.439,2.807,1.304,-0.192,,,-4.5,0.75,,,
231,Adam Schenk,47347,70.507,0.739,0.016,0.059,0.334,0.206,0.405,-0.2,0.2,-2.0,0.5,181.0,2.0,0.0
232,Matti Schmid,48867,72.028,-0.223,0.193,-0.428,-0.428,-0.173,0.205,,,,,,,
233,Matthias Schwab,34610,71.906,-1.079,-0.354,0.233,-0.704,-0.426,-0.375,-2.5,0.5,1.0,0.0,255.0,2.0,0.0
234,Adam Scott,24502,70.201,0.927,0.532,0.191,0.465,-0.068,0.462,-5.67,1.0,-5.0,1.0,182.0,0.0,1.0
