,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
140,Kurt Kitayama,48117,70.546,0.365,-0.04,0.053,0.298,0.323,0.067,-5.0,0.5,-5.0,0.5,369.0,-13.0,1.0
141,Patton Kizzire,32757,71.239,-0.31,-0.224,-0.018,-0.286,-0.034,-0.024,-4.0,0.5,-4.0,0.5,394.0,-2.0,1.0
142,Philip Knowles,54813,,,,,,,,,,,,,,
143,Russell Knox,33122,71.568,-0.65,-0.696,-0.032,-0.295,0.475,-0.355,-7.0,0.67,-7.0,0.67,401.0,-10.0,1.0
144,Satoshi Kodaira,32816,,,,,,,,0.33,0.0,0.33,0.0,413.0,0.0,0.0
145,Kelly Kraft,35879,72.1,-1.275,-0.445,-0.402,-1.541,-0.747,0.266,0.0,0.0,0.0,0.0,370.0,1.0,0.0
146,Matt Kuchar,23108,70.351,0.77,0.002,0.44,0.546,0.115,0.225,-1.0,0.0,-1.0,0.0,382.0,-1.0,0.0
147,Martin Laird,27936,71.649,-0.641,-0.339,-0.012,-0.43,-0.152,-0.211,-2.5,0.0,-2.5,0.0,,,
148,Andrew Landry,33410,72.642,-1.582,-0.163,-0.048,-1.437,-1.097,-0.145,-1.0,0.33,-1.0,0.33,305.0,1.0,0.0
149,Nate Lashley,28775,70.866,0.327,-0.152,0.032,0.27,0.337,0.057,-9.5,0.5,-9.5,0.5,389.0,-7.0,1.0
150,Hank Lebioda,49766,72.564,-1.885,-0.484,-0.523,-1.412,-0.335,-0.473,-5.0,0.25,-5.0,0.25,352.0,1.0,0.0
151,K.H. Lee,32791,70.589,0.46,0.09,0.212,0.393,0.026,0.066,,,,,,,
152,Min Woo Lee,37378,,,,,,,,,,,,,,
153,Ian Leggatt,10565,,,,,,,,,,,,,,
154,Justin Leonard,10860,,,,,,,,,,,,,,
155,Nicholas Lindheim,37278,,,,,,,,-2.0,0.0,-2.0,0.0,,,
156,David Lingmerth,34409,71.461,-0.64,-0.465,-0.095,-0.662,-0.107,0.023,-7.0,1.0,-7.0,1.0,335.0,-7.0,1.0
157,David Lipsky,36326,71.167,-0.26,-0.165,0.142,0.273,0.246,-0.532,-10.0,1.0,-10.0,1.0,336.0,-10.0,1.0
158,Luke List,27129,71.392,-0.218,0.565,-0.218,0.696,0.389,-0.914,-3.33,0.33,-3.33,0.33,376.0,2.0,0.0
159,Adam Long,35449,71.477,-0.265,-0.293,0.103,-0.648,-0.511,0.384,0.5,0.0,0.5,0.0,,,
160,Davis Love III,01706,,,,,,,,5.0,0.0,5.0,0.0,337.0,5.0,0.0
161,Justin Lower,40162,71.376,-0.139,-0.261,-0.267,-0.607,-0.042,0.468,,,,,,,
162,Shane Lowry,33204,70.204,0.819,0.396,0.009,1.072,0.62,-0.252,,,,,,,
163,Will MacKenzie,24912,,,,,,,,2.0,0.0,2.0,0.0,,,
164,Hunter Mahan,24781,,,,,,,,0.5,0.0,0.5,0.0,,,
165,Peter Malnati,34466,71.582,-0.306,-0.635,0.284,-0.762,-0.164,0.456,-3.5,0.5,-3.5,0.5,395.0,-4.0,1.0
166,Ben Martin,33413,70.79,0.178,0.026,-0.442,0.16,0.603,0.018,-4.67,0.33,-4.67,0.33,317.0,-12.0,1.0
167,Shigeki Maruyama,12680,,,,,,,,,,,,,,
168,Hideki Matsuyama,32839,70.117,1.139,0.103,0.415,1.165,0.616,-0.026,-10.0,0.67,-10.0,0.67,,,
169,Troy Matteson,27120,,,,,,,,,,,,,,
170,Brandon Matthews,51491,72.752,-1.799,0.405,-1.05,-1.025,-0.219,-0.774,,,,,,,
171,Denny McCarthy,47993,69.758,1.136,-0.001,0.099,0.352,0.103,0.784,-5.0,0.33,-5.0,0.33,338.0,0.0,0.0
172,Tyler McCumber,40042,,,,,,,,-0.5,0.0,-0.5,0.0,,,
173,William McGirt,31202,,,,,,,,-1.0,0.5,-1.0,0.5,432.0,-1.0,1.0
174,Jim McGovern,06090,,,,,,,,,,,,,,
175,Max McGreevy,51950,72.984,-2.359,-0.64,0.06,-1.801,-1.22,-0.558,,,,,,,
176,Rory McIlroy,28237,69.174,2.089,1.052,0.373,2.039,0.769,0.049,,,,,,,
177,Parker McLachlin,24449,,,,,,,,,,,,,,
178,Maverick McNealy,46442,70.398,0.316,-0.488,0.154,-0.742,-0.282,1.058,-9.0,0.67,-9.0,0.67,383.0,0.0,0.0
179,George McNeill,24490,,,,,,,,-11.0,1.0,-11.0,1.0,,,
180,John Merrick,27933,,,,,,,,,,,,,,
181,Troy Merritt,32640,72.2,-1.131,-0.411,-0.047,-0.536,-0.192,-0.595,-12.0,0.75,-12.0,0.75,425.0,-15.0,1.0
182,Shaun Micheel,06515,,,,,,,,,,,,,,
183,Johnny Miller,01815,,,,,,,,,,,,,,
184,Keith Mitchell,39546,70.632,0.635,0.836,-0.122,0.416,-0.163,0.219,-2.0,0.0,-2.0,0.0,,,
185,Francesco Molinari,25198,71.938,-0.523,-0.291,-0.241,-0.423,-0.025,-0.1,,,,,,,
186,Taylor Montgomery,55789,70.352,0.678,-0.027,0.235,-0.303,-0.517,0.981,,,,,,,
187,Ryan Moore,26596,71.622,-0.258,-0.301,-0.216,-0.145,0.353,-0.113,-1.0,0.0,-1.0,0.0,402.0,-1.0,0.0
188,Taylor Moore,49947,70.531,0.623,0.228,-0.046,0.198,0.052,0.425,-19.0,1.0,-19.0,1.0,426.0,-19.0,1.0
189,Collin Morikawa,50525,69.762,1.385,0.447,-0.026,1.528,1.079,-0.144,,,,,,,
190,Trey Mullinax,46601,71.948,-0.63,-0.039,-0.12,-0.294,-0.071,-0.336,-5.5,0.5,-5.5,0.5,427.0,-10.0,1.0
191,Grayson Murray,34213,,,,,,,,1.0,0.0,1.0,0.0,345.0,1.0,0.0
192,Matt NeSmith,36871,70.983,0.121,-0.021,-0.009,0.152,0.138,-0.03,,,,,,,
193,Jack Nicklaus,01869,,,,,,,,,,,,,,
194,S.Y. Noh,29289,71.397,-0.711,-0.611,-0.214,-1.217,-0.371,0.506,,,,,,,
195,Alex Noren,27349,70.901,0.403,-0.414,0.445,0.021,-0.009,0.383,,,,,,,
196,Henrik Norlander,30163,71.442,-0.769,-0.136,0.125,-0.211,-0.147,-0.559,-11.33,1.0,-11.33,1.0,353.0,-11.0,1.0
197,Vincent Norrman,51070,70.988,-0.009,0.294,0.033,0.331,-0.094,-0.34,,,,,,,
198,Andrew Novak,51997,70.868,0.63,-0.166,0.221,0.214,0.088,0.416,,,,,,,
199,Augusto Núñez,36724,71.46,-0.27,-0.041,0.062,0.145,0.025,-0.415,,,,,,,
