,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
141,Kurt Kitayama,48117,70.486,0.365,-0.04,0.053,0.298,0.323,0.067,1.33,0.33,-1.0,1.0,613.0,-1.0,1.0
142,Patton Kizzire,32757,71.302,-0.344,-0.234,-0.027,-0.307,-0.04,-0.037,7.67,0.33,,,,,
143,Philip Knowles,54813,,,,,,,,,,,,,,
144,Russell Knox,33122,71.542,-0.539,-0.653,-0.013,-0.199,0.494,-0.34,3.0,0.4,2.0,0.0,,,
145,Satoshi Kodaira,32816,71.244,0.117,-0.127,0.025,0.345,0.414,-0.227,4.0,0.5,,,,,
146,Kelly Kraft,35879,72.038,-1.1,-0.41,-0.347,-1.385,-0.689,0.286,3.0,0.0,,,,,
147,Matt Kuchar,23108,70.477,0.622,-0.032,0.465,0.431,0.002,0.191,-1.0,0.83,-3.0,1.0,,,
148,Peter Kuest,58696,,,,,,,,,,,,,,
149,Martin Laird,27936,71.686,-0.605,-0.344,0.047,-0.334,-0.13,-0.27,7.0,0.0,,,,,
150,Andrew Landry,33410,72.524,-1.364,-0.162,-0.124,-1.322,-0.972,-0.042,13.0,0.0,,,,,
151,Nate Lashley,28775,70.86,0.373,-0.165,0.062,0.262,0.314,0.111,2.0,0.0,,,,,
152,Hank Lebioda,49766,72.51,-1.58,-0.531,-0.44,-1.27,-0.167,-0.309,,,,,,,
153,K.H. Lee,32791,70.624,0.42,0.031,0.208,0.342,0.041,0.079,,,,,,,
154,Min Woo Lee,37378,69.715,1.048,0.499,0.295,0.247,-0.498,0.802,-3.0,0.5,-9.0,1.0,624.0,-9.0,1.0
155,Ian Leggatt,10565,,,,,,,,,,,,,,
156,Justin Leonard,10860,,,,,,,,,,,,,,
157,Nicholas Lindheim,37278,,,,,,,,,,,,,,
158,David Lingmerth,34409,71.339,-0.713,-0.506,-0.066,-0.67,-0.101,-0.043,3.0,0.5,0.0,1.0,,,
159,David Lipsky,36326,71.229,-0.297,-0.14,0.102,0.248,0.229,-0.544,2.33,0.33,-3.0,1.0,,,
160,Luke List,27129,71.333,-0.271,0.562,-0.229,0.656,0.357,-0.927,3.33,0.33,5.0,0.0,618.0,5.0,0.0
161,Adam Long,35449,71.483,-0.254,-0.292,0.134,-0.628,-0.531,0.375,9.0,0.0,,,,,
162,Davis Love III,01706,,,,,,,,,,,,,,
163,Justin Lower,40162,71.273,0.041,-0.242,-0.234,-0.516,-0.017,0.557,,,,,,,
164,Shane Lowry,33204,70.079,0.819,0.396,0.009,1.072,0.62,-0.252,-1.29,0.43,-4.0,0.5,645.0,-9.0,1.0
165,Will MacKenzie,24912,,,,,,,,,,,,,,
166,Hunter Mahan,24781,,,,,,,,-4.0,1.0,-4.0,1.0,,,
167,Peter Malnati,34466,71.501,-0.169,-0.631,0.336,-0.708,-0.216,0.539,,,,,,,
168,Ben Martin,33413,70.8,0.114,0.016,-0.385,0.144,0.515,-0.031,0.0,1.0,0.0,1.0,,,
169,Shigeki Maruyama,12680,,,,,,,,,,,,,,
170,Hideki Matsuyama,32839,70.214,1.052,0.09,0.412,1.115,0.585,-0.063,0.17,0.5,-5.0,1.0,596.0,-2.0,1.0
171,Troy Matteson,27120,,,,,,,,,,,,,,
172,Brandon Matthews,51491,72.98,-2.077,0.275,-0.992,-1.009,-0.079,-1.068,,,,,,,
173,Denny McCarthy,47993,69.708,1.198,0.03,0.104,0.373,0.092,0.824,,,,,,,
174,Tyler McCumber,40042,,,,,,,,,,,,,,
175,William McGirt,31202,,,,,,,,7.0,0.0,,,,,
176,Jim McGovern,06090,,,,,,,,,,,,,,
177,Max McGreevy,51950,72.975,-2.268,-0.573,-0.021,-1.799,-1.17,-0.469,,,,,,,
178,Rory McIlroy,28237,68.948,2.089,1.052,0.373,2.039,0.769,0.049,-5.83,0.83,-18.0,1.0,636.0,-18.0,1.0
179,Parker McLachlin,24449,,,,,,,,,,,,,,
180,Maverick McNealy,46442,70.398,0.316,-0.488,0.154,-0.742,-0.282,1.058,12.0,0.0,,,,,
181,George McNeill,24490,,,,,,,,,,,,,,
182,John Merrick,27933,,,,,,,,,,,,,,
183,Troy Merritt,32640,71.88,-0.648,-0.226,0.053,-0.073,-0.027,-0.576,3.0,0.0,,,,,
184,Shaun Micheel,06515,,,,,,,,,,,,,,
185,Johnny Miller,01815,,,,,,,,,,,,,,
186,Keith Mitchell,39546,70.607,0.629,0.794,-0.07,0.465,-0.108,0.163,2.33,0.0,1.0,0.0,615.0,1.0,0.0
187,Francesco Molinari,25198,71.898,-0.523,-0.291,-0.241,-0.423,-0.025,-0.1,-2.57,0.71,-7.5,1.0,591.0,-10.0,1.0
188,Taylor Montgomery,55789,70.496,0.548,-0.017,0.197,-0.394,-0.563,0.942,,,,,,,
189,Ryan Moore,26596,71.647,-0.247,-0.332,-0.147,-0.117,0.362,-0.13,2.5,0.5,3.0,0.0,,,
190,Taylor Moore,49947,70.467,0.749,0.244,0.012,0.276,0.082,0.473,,,,,,,
191,Collin Morikawa,50525,69.659,1.582,0.489,0.028,1.647,1.108,-0.065,-7.0,0.5,1.0,0.0,580.0,1.0,0.0
192,Trey Mullinax,46601,71.923,-0.592,-0.023,-0.088,-0.28,-0.119,-0.311,-9.0,1.0,-9.0,1.0,657.0,-9.0,1.0
193,Grayson Murray,34213,,,,,,,,,,,,,,
194,Matt NeSmith,36871,71.037,0.082,-0.029,0.058,0.24,0.155,-0.159,,,,,,,
195,Jack Nicklaus,01869,,,,,,,,,,,,,,
196,S.Y. Noh,29289,71.492,-0.677,-0.451,-0.132,-1.142,-0.516,0.465,,,,,,,
197,Alex Noren,27349,70.854,0.559,-0.398,0.413,0.108,0.066,0.452,,,,,,,
198,Henrik Norlander,30163,71.572,-0.822,-0.113,0.0,-0.303,-0.132,-0.519,,,,,,,
199,Vincent Norrman,51070,70.966,0.107,0.321,0.037,0.426,0.006,-0.319,,,,,,,
200,Andrew Novak,51997,70.905,0.559,-0.128,0.211,0.211,0.071,0.348,,,,,,,
201,Augusto Núñez,36724,71.532,-0.347,-0.06,0.029,0.114,0.021,-0.461,,,,,,,
202,Sean O'Hair,24140,71.636,-0.596,-0.208,0.048,-0.389,-0.23,-0.207,6.0,1.0,,,,,
203,Arron Oberholser,20628,,,,,,,,,,,,,,
204,Joe Ogilvie,21949,,,,,,,,,,,,,,
205,Geoff Ogilvy,22046,,,,,,,,-5.0,1.0,-5.0,1.0,,,
206,Ryan Palmer,23320,70.968,0.187,0.259,-0.077,0.678,0.341,-0.491,1.25,0.5,-6.0,1.0,,,
207,C.T. Pan,29908,,,,,,,,8.0,0.0,,,,,
208,Taylor Pendrith,40250,71.263,0.023,0.275,-0.127,0.051,-0.082,-0.027,,,,,,,
209,Cameron Percy,22056,71.591,0.023,0.092,-0.07,-0.073,-0.222,0.096,,,,,,,
210,Scott Piercy,25818,71.099,0.079,-0.235,-0.008,0.077,0.233,0.002,16.0,0.0,,,,,
211,Gary Player,01955,,,,,,,,,,,,,,
212,D.A. Points,25240,,,,,,,,,,,,,,
213,J.T. Poston,49771,70.639,0.162,0.05,-0.043,0.065,0.027,0.097,2.0,0.0,2.0,0.0,606.0,2.0,0.0
214,"Ted Potter, Jr.",27556,,,,,,,,,,,,,,
215,Seamus Power,28252,70.585,0.404,0.053,0.175,-0.067,-0.202,0.471,4.0,0.0,4.0,0.0,647.0,4.0,0.0
216,Ted Purdy,21959,,,,,,,,,,,,,,
217,Andrew Putnam,34256,70.101,0.791,-0.421,0.081,0.1,0.408,0.691,1.0,1.0,,,,,
218,Jon Rahm,46970,68.788,2.244,0.516,0.143,1.769,0.982,0.475,-1.0,0.83,-7.0,1.0,607.0,-7.0,1.0
219,Aaron Rai,46414,70.499,0.649,0.261,0.146,0.941,0.409,-0.292,-0.5,0.5,3.0,0.0,566.0,3.0,0.0
220,Chad Ramey,47983,71.513,-0.22,-0.101,-0.002,-0.565,-0.383,0.345,,,,,,,
221,Chez Reavie,26476,71.398,-0.036,-0.256,-0.221,-0.071,0.352,0.034,2.33,0.33,,,,,
222,Doc Redman,53165,71.729,-0.759,-0.104,-0.518,-0.854,-0.275,0.095,-1.0,1.0,,,,,
223,Davis Riley,47995,71.054,-0.105,-0.06,-0.317,-0.021,0.441,-0.084,,,,,,,
224,Patrick Rodgers,36699,70.234,0.744,0.312,0.245,0.488,-0.134,0.257,,,,,,,
