,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
206,Taylor Pendrith,40250,71.406,-0.105,0.254,-0.145,-0.118,-0.208,0.014,7.5,0.5,,,,,,
207,Cameron Percy,22056,71.429,0.291,0.097,-0.131,0.013,-0.172,0.278,,,,,,,,
208,Scott Piercy,25818,70.994,0.253,-0.238,0.053,0.194,0.269,0.059,5.0,0.75,,,,,,
209,Gary Player,01955,,,,,,,,,,,,,,,
210,D.A. Points,25240,,,,,,,,12.0,1.0,,,,,,
211,J.T. Poston,49771,70.973,0.026,0.054,-0.095,0.074,0.095,-0.048,8.33,0.33,,,,,,
212,"Ted Potter, Jr.",27556,,,,,,,,,,,,,,,
213,Seamus Power,28252,70.724,0.302,0.05,0.166,-0.134,-0.258,0.436,1.0,1.0,,,1217.0,1.0,1.0,
214,Ted Purdy,21959,,,,,,,,,,,,,,,
215,Andrew Putnam,34256,70.197,0.832,-0.389,0.115,0.183,0.447,0.649,2.33,0.67,,,1131.0,6.0,1.0,
216,Jon Rahm,46970,68.834,2.338,0.543,0.134,1.847,1.062,0.492,3.0,0.71,,,1173.0,1.0,1.0,
217,Aaron Rai,46414,70.655,0.491,0.265,0.136,0.882,0.39,-0.391,9.0,0.0,,,,,,
218,Chad Ramey,47983,71.789,-0.492,-0.227,-0.085,-0.865,-0.483,0.373,,,,,,,,
219,Chez Reavie,26476,71.763,-0.371,-0.251,-0.269,-0.348,0.14,-0.023,2.0,0.6,,,,,,
220,Doc Redman,53165,71.626,-0.65,-0.057,-0.509,-0.688,-0.175,0.038,,,,,,,,
221,Davis Riley,47995,71.251,-0.22,-0.105,-0.321,0.013,0.584,-0.233,11.0,0.33,,,1156.0,6.0,1.0,
222,Patrick Rodgers,36699,70.276,0.777,0.329,0.221,0.584,-0.093,0.193,8.5,1.0,,,1202.0,6.0,1.0,
223,Chi Chi Rodriguez,02015,,,,,,,,,,,,,,,
224,John Rollins,22913,,,,,,,,,,,,,,,
225,Justin Rose,22405,69.598,1.475,-0.014,0.254,1.019,0.648,0.456,5.12,0.5,,,1174.0,7.0,1.0,
226,Kevin Roy,39335,71.534,-0.328,-0.126,-0.085,0.203,0.455,-0.531,,,,,,,,
227,Sam Ryder,37275,70.756,0.475,-0.511,-0.162,-0.312,0.383,0.787,5.0,0.0,,,,,,
228,Rory Sabbatini,23621,72.856,-1.661,-0.859,0.09,-1.898,-1.084,0.237,11.0,1.0,,,,,,
229,Xander Schauffele,48081,69.47,1.971,0.338,0.148,1.394,0.888,0.577,-2.4,1.0,,,,,,
230,Scottie Scheffler,46046,68.75,2.544,1.096,0.458,2.775,1.207,-0.231,0.4,0.6,,,1218.0,-5.0,1.0,
231,Adam Schenk,47347,70.596,0.625,0.024,0.106,0.271,0.099,0.355,4.0,1.0,,,1132.0,4.0,1.0,
232,Matti Schmid,48867,72.419,-0.471,0.084,-0.575,-0.552,0.001,0.081,,,,,,,,
233,Matthias Schwab,34610,71.741,-0.955,-0.367,0.199,-0.73,-0.41,-0.225,14.0,0.0,,,,,,
234,Adam Scott,24502,70.625,0.836,0.569,0.201,0.458,-0.124,0.378,3.75,0.75,,,1133.0,2.0,1.0,
235,Robby Shelton,46441,70.809,0.29,-0.322,0.36,0.257,0.212,0.032,8.0,0.0,,,,,,
